Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
932,0,21.3,21.1
933,0,21.2,21.2
934,0,21.3,21.1
935,0,21.1,21.1
936,0,21.3,21.1
938,0,21.3,21.1
939,0,21.4,21.2
939,0,21.3,21.1
940,0,21.3,21.1
941,0,21.3,21.2
942,0,21.4,21.1
943,0,21.3,21.1
944,0,21.3,21.1
945,0,21.3,21.1
947,0,21.2,21.2
948,0,21.3,21.2
949,0,21.3,21.0
949,0,21.3,21.1
950,0,21.3,21.3
951,0,21.3,21.3
952,0,21.3,21.1
953,0,21.2,21.2
954,0,21.3,21.2
955,0,21.3,21.3
956,0,21.3,21.1
957,0,21.3,21.1
958,0,21.3,21.2
959,0,21.3,21.1
960,0,21.3,21.1
961,0,21.2,21.1
962,0,21.3,21.1
963,0,21.3,21.2
964,0,21.3,21.1
965,0,21.3,21.1
967,0,21.3,21.1
968,0,21.3,21.1
968,0,21.3,21.1
969,0,21.4,21.1
970,0,21.3,21.1
971,0,21.3,21.1
972,0,21.3,21.1
973,0,21.3,21.1
974,0,21.3,21.1
975,0,21.3,21.1
976,0,21.3,21.1
978,0,21.3,21.1
979,0,21.3,21.0
980,0,21.3,21.3
980,0,21.3,21.1
981,0,21.3,21.2
982,0,21.3,21.2
983,0,21.3,21.1
984,0,21.3,21.1
985,0,21.3,21.1
986,0,21.3,21.1
988,0,21.3,21.1
988,0,21.3,21.2
989,0,21.3,21.2
991,0,21.3,21.2
991,0,21.3,21.1
992,0,21.3,21.1
994,0,21.3,21.1
994,0,21.3,21.3
995,0,21.3,21.2
996,0,21.3,21.1
997,0,21.3,21.1
998,0,21.3,21.2
999,0,21.3,21.1
1000,0,21.2,21.3
1001,1,21.3,21.2
1002,0,21.3,21.2
1003,0,21.2,21.1
1004,0,21.3,21.1
1005,0,21.3,21.3
1006,0,21.3,21.0
1007,0,21.3,21.1
1008,0,21.2,21.1
